Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,,,
14,Tue,2020-12-22,18:30 (23:00),Crotone,0.8,2–1,1.2,Parma,,Stadio Ezio Scida,Fabio Maresca,Match Report,
14,Tue,2020-12-22,20:45 (01:15),Juventus,0.4,0–3,1.0,Fiorentina,,Allianz Stadium,Federico La Penna,Match Report,
14,Wed,2020-12-23,18:30 (23:00),Hellas Verona,0.7,1–2,2.1,Inter,,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,
14,Wed,2020-12-23,20:45 (01:15),Sampdoria,1.7,2–3,2.1,Sassuolo,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
14,Wed,2020-12-23,20:45 (01:15),Udinese,1.7,0–2,0.4,Benevento,,Dacia Arena,Manuel Volpi,Match Report,
14,Wed,2020-12-23,20:45 (01:15),Napoli,0.9,1–1,0.5,Torino,,Stadio San Paolo,Paolo Valeri,Match Report,
14,Wed,2020-12-23,20:45 (01:15),Bologna,1.0,2–2,1.5,Atalanta,,Stadio Renato Dall'Ara,Daniele Chiffi,Match Report,
14,Wed,2020-12-23,20:45 (01:15),Roma,3.1,3–2,1.7,Cagliari,,Stadio Olimpico,Luca Pairetto,Match Report,
14,Wed,2020-12-23,20:45 (01:15),Milan,1.9,3–2,1.8,Lazio,,Stadio Giuseppe Meazza,Marco Di Bello,Match Report,
14,Wed,2020-12-23,20:45 (01:15),Spezia,0.7,1–2,1.6,Genoa,,Stadio Dino Manuzzi,Davide Massa,Match Report,
,,,,,,,,,,,,,
15,Sun,2021-01-03,12:30 (17:00),Inter,2.5,6–2,1.6,Crotone,,Stadio Giuseppe Meazza,Gianluca Aureliano,Match Report,
15,Sun,2021-01-03,15:00 (19:30),Fiorentina,0.3,0–0,0.7,Bologna,,Stadio Artemio Franchi,Daniele Orsato,Match Report,
15,Sun,2021-01-03,15:00 (19:30),Atalanta,2.6,5–1,0.7,Sassuolo,,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
15,Sun,2021-01-03,15:00 (19:30),Parma,1.1,0–3,1.6,Torino,,Stadio Ennio Tardini,Daniele Doveri,Match Report,
15,Sun,2021-01-03,15:00 (19:30),Genoa,0.9,1–1,1.4,Lazio,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,
